Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
Isolation Forest,0.789611426543648,0.8040896105848745,0.833476194186862,0.818519227090109,0.873984092907163,0.872850029281601
Random Forest,0.765569552874379,0.967079207920792,0.6088989324398036,0.7472863768947544,0.959526862602893,0.9662159446710887
AdaBoost,0.7966199432221434,0.9267384105960265,0.69788825683784,0.7961950482286527,0.946970746878083,0.9310331845966253
XGBoost,0.7868168914123492,0.9679375072869302,0.6469258941790695,0.7755254553946754,0.9620742208334063,0.9663546990575091
IF + XGBoost (Hybrid),0.7856192334989354,0.9678362573099415,0.644821943427102,0.7739793293738016,0.9602223017110652,0.965762275506429
